name,cpumark,tdp,cat,cores,gpu_name
AMD 3015e,"2,618",6.0,Laptop,2,AMD Radeon Graphics
AMD 3020e,"2,396",6.0,Laptop,2,AMD Radeon Graphics
AMD A10 Micro-6700T APU,"1,426",5.0,Laptop,4,AMD Radeon Graphics
AMD A10 PRO-7350B APU,"1,862",19.0,Laptop,4,AMD Radeon Graphics
AMD A10-4600M APU,"1,947",35.0,Laptop,2,AMD Radeon Graphics
AMD A10-4655M APU,"1,654",25.0,Laptop,2,AMD Radeon Graphics
AMD A10-4657M APU,"1,759",35.0,Laptop,4,AMD Radeon Graphics
AMD A10-5745M APU,"1,773",25.0,Laptop,4,AMD Radeon HD 7660D
AMD A10-5750M APU,"2,045",35.0,Laptop,4,AMD Radeon HD 7660D
AMD A10-5757M APU,"1,994",35.0,Laptop,4,AMD Radeon HD 7660D
AMD A10-7300 APU,"1,743",19.0,Laptop,4,AMD Radeon R7 Graphics
AMD A10-7400P,"2,134",35.0,Laptop,4,AMD Radeon R7 Graphics
AMD A10-8700P,"2,254",35.0,Laptop,2,AMD Radeon R6 Graphics
AMD A10-9600P,"2,318",15.0,Laptop,4,AMD Radeon R7 Graphics
AMD A10-9620P,"2,521",15.0,Laptop,4,AMD Radeon R7 Graphics
AMD A10-9630P,"3,041",35.0,Laptop,4,AMD Radeon R7 Graphics
AMD A12-9700P,"2,422",15.0,Laptop,4,AMD Radeon R7 Graphics
AMD A12-9720P,"2,631",15.0,Laptop,4,AMD Radeon R7 Graphics
AMD A12-9730P,"3,005",35.0,Laptop,4,AMD Radeon R7 Graphics
AMD A4 Micro-6400T APU,"1,082",4.5,Laptop,4,AMD Radeon Graphics
AMD A4 PRO-3340B,"1,719",25.0,Laptop,4,AMD Radeon Graphics
AMD A4-1200 APU,375,3.9,Laptop,2,AMD Radeon Graphics
AMD A4-1250 APU,421,8.0,Laptop,2,AMD Radeon Graphics
AMD A4-1350 APU,911,8.0,Laptop,4,AMD Radeon Graphics
AMD A4-3300M APU,728,65.0,Laptop,2,AMD Radeon Graphics
AMD A4-3305M APU,767,35.0,Laptop,2,AMD Radeon Graphics
AMD A4-3310MX APU,800,45.0,Laptop,2,AMD Radeon Graphics
AMD A4-3320M APU,668,35.0,Laptop,2,AMD Radeon Graphics
AMD A4-3330MX APU,761,45.0,Laptop,2,AMD Radeon Graphics
AMD A4-4300M APU,967,35.0,Laptop,1,AMD Radeon Graphics
AMD A4-4355M APU,801,17.0,Laptop,2,AMD Radeon Graphics
AMD A4-5000 APU,"1,286",15.0,Laptop,4,AMD Radeon HD 7480D
AMD A4-5050 APU,"1,328",13.5,Laptop,4,AMD Radeon HD 7480D
AMD A4-5100 APU,"1,301",15.0,Laptop,4,AMD Radeon HD 7480D
AMD A4-5150M APU,969,35.0,Laptop,2,AMD Radeon HD 7480D
AMD A4-6210 APU,"1,493",15.0,Laptop,4,AMD Radeon HD 8370D
AMD A4-7210 APU,"1,667",25.0,Laptop,4,AMD Radeon R4 Graphics
AMD A4-9120,"1,222",15.0,Laptop,2,AMD Radeon R4 Graphics
AMD A4-9120C,885,6.0,Laptop,2,AMD Radeon R4 Graphics
AMD A4-9120e,854,6.0,Laptop,2,AMD Radeon R4 Graphics
AMD A4-9125,"1,200",15.0,Laptop,2,AMD Radeon R4 Graphics
AMD A6 Micro-6500T APU,"1,146",4.5,Laptop,4,AMD Radeon Graphics
AMD A6 PRO-7050B APU,971,17.0,Laptop,2,AMD Radeon Graphics
AMD A6-1450 APU,"1,062",8.0,Laptop,4,AMD Radeon Graphics
AMD A6-3400M APU,"1,230",35.0,Laptop,4,AMD Radeon Graphics
AMD A6-3410MX APU,"1,274",45.0,Laptop,4,AMD Radeon Graphics
AMD A6-3420M APU,"1,311",35.0,Laptop,4,AMD Radeon Graphics
AMD A6-3430MX APU,"1,389",45.0,Laptop,4,AMD Radeon Graphics
AMD A6-4400M APU,996,35.0,Laptop,1,AMD Radeon Graphics
AMD A6-4455M APU,811,17.0,Laptop,1,AMD Radeon Graphics
AMD A6-5200 APU,"1,659",25.0,Laptop,4,AMD Radeon HD 7540D
AMD A6-5345M APU,"1,122",17.0,Laptop,2,AMD Radeon HD 7540D
AMD A6-5350M APU,"1,207",35.0,Laptop,2,AMD Radeon HD 7540D
AMD A6-5357M APU,"1,219",35.0,Laptop,2,AMD Radeon HD 7540D
AMD A6-6310 APU,"1,671",15.0,Laptop,4,AMD Radeon HD 8470D
AMD A6-7000 ,"1,002",17.0,Laptop,2,AMD Radeon R4 Graphics
AMD A6-7310 APU,"1,751",25.0,Laptop,4,AMD Radeon R5 Graphics
AMD A6-8500P,"1,445",15.0,Laptop,2,AMD Radeon R5 Graphics
AMD A6-9200,"1,149",10.0,Laptop,2,AMD Radeon R5 Graphics
AMD A6-9210,"1,208",15.0,Laptop,2,AMD Radeon R5 Graphics
AMD A6-9220,"1,320",15.0,Laptop,2,AMD Radeon R5 Graphics
AMD A6-9220C,"1,053",6.0,Laptop,2,AMD Radeon R5 Graphics
AMD A6-9220e,960,6.0,Laptop,2,AMD Radeon R5 Graphics
AMD A6-9225,"1,335",15.0,Laptop,2,AMD Radeon R5 Graphics
AMD A6-9400,"2,717",10.0,Laptop,2,AMD Radeon R5 Graphics
AMD A8 PRO-7150B APU,"1,541",19.0,Laptop,4,AMD Radeon Graphics
AMD A8-3500M APU,"1,391",35.0,Laptop,4,AMD Radeon Graphics
