id,price_preview,created_at,city,spec_Etat,model_name,DEDICATED_GPU,CPU,RAM_SIZE,SSD_SIZE,HDD_SIZE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,RAM_TYPE,norm_cpu
1,75000000.0,2021 10 01T18:01:44.000Z,EL TAREF,BON TAT,IDEAPAD,,INTEL CORE I5 750S,4GB,128GB,,14.0,,,,i5 750s
2,33500000.0,2021 11 10T21:24:14.000Z,COLLO,JAMAIS UTILIS,AERO,NVIDIA GEFORCE RTX 3060,11TH GEN INTEL CORE I7 11800H,16GB,1TB,,15.6,,3840x2160,,11th gen i7 11800h
3,17000000.0,2021 09 11T20:27:59.000Z,MECHERIA,,STEALTH,NVIDIA GEFORCE GTX 1060,INTEL CORE I7 7700HQ,16GB,,,17.3,120Hz,,,i7 7700hq
4,12000000.0,2025 03 06T00:28:39.000Z,ES SENIA,,ROG,NVIDIA GEFORCE RTX 1650,AMD RYZEN 7 5800HS,16GB,512GB,,14.0,,,,amd ryzen 7 5800hs
5,11000000.0,2024 10 09T18:10:21.000Z,TIZI OUZOU,BON TAT,,AMD RADEON RX 580,AMD RYZEN 5 2400G,16GB,128GB,145GB,,60Hz,,,amd ryzen 5 2400g
6,9999999.0,2025 02 18T21:30:18.000Z,MOHAMMADIA,,XPS,,10TH GEN INTEL CORE I5 10300H,8GB,512GB,,15.0,,1920x1080,,10th gen i5 10300h
7,9900000.0,2025 04 29T19:42:16.000Z,CHELGHOUM LAID,,THINKPAD,,AMD RYZEN 5 7520U,8GB,,,,,,,amd ryzen 5 7520u
8,9000000.0,2025 07 01T17:26:43.000Z,ALGER CENTRE,BON TAT,LATITUDE,,11TH GEN INTEL CORE I5,16GB,512GB,,,,,,11th gen i5
9,8976378.0,2025 02 23T10:25:42.000Z,MOSTAGANEM,JAMAIS UTILIS,SWORD,NVIDIA GEFORCE RTX 4070,INTEL CORE I7 13700HX,16GB,1TB,,16.0,,,,i7 13700hx
10,8400000.0,2024 12 11T23:17:24.000Z,HAMMA BOUZIANE,BON TAT,LATITUDE,,11TH GEN INTEL CORE I5 1145G7,8GB,256GB,,14.0,,,DDR4,11th gen i5 1145g7
11,8000000.0,2024 10 15T22:42:29.000Z,BORDJ BOU ARRERIDJ,,PAVILION,,AMD RYZEN 5 PRO 8540U,16GB,256GB,,13.0,,,,amd ryzen 5 pro 8540u
12,8000000.0,2025 03 21T18:52:03.000Z,AIN FAKROUN,,LATITUDE,,11TH GEN INTEL CORE I5 1135G7,16GB,512GB,,14.0,,1920x1080,,11th gen i5 1135g7
13,7900000.0,2025 05 31T12:53:56.000Z,AIN SMARA,BON TAT,ELITEBOOK,,INTEL CORE I5 1235U,16GB,512GB,,15.0,,,,i5 1235u
14,7200000.0,2025 07 27T13:24:22.000Z,TOLGA,JAMAIS UTILIS,,,10TH GEN INTEL CORE I5 10210U,,,,,,,,10th gen i5 10210u
15,7000000.0,2025 07 02T15:47:12.000Z,ALGER CENTRE,BON TAT,LATITUDE,,INTEL CORE I5 8365U,16GB,256GB,,14.1,,,,i5 8365u
16,6800000.0,2024 11 16T13:03:22.000Z,SOUK AHRAS,BON TAT,THINKPAD,,11TH GEN INTEL CORE I7 1165G7,8GB,512GB,,16.4,,,,11th gen i7 1165g7
