gpu_name,g3d_mark,g2d_mark,tdp(w)
GeForce 205,126,309,30.5
GeForce 210,139,30,30.5
GeForce 305M,151,149,14.0
GeForce 310,144,40,30.5
GeForce 310M,127,21,14.0
GeForce 315,196,45,33.0
GeForce 315M,115,35,14.0
GeForce 320M,190,46,20.0
GeForce 410M,274,132,12.0
GeForce 510,290,163,25.0
GeForce 6200,37,31,30.0
GeForce 6200 A-LE,32,192,30.0
GeForce 6200 LE,33,56,30.0
GeForce 6200A,4,117,30.0
GeForce 6500,38,300,30.0
GeForce 6600,86,37,30.0
GeForce 6600 GT,143,53,40.0
GeForce 6600 LE,51,234,30.0
GeForce 6800,113,258,40.0
GeForce 6800 GS,192,72,40.0
GeForce 6800 GS/XT,103,196,40.0
GeForce 6800 GT,142,212,40.0
GeForce 6800 LE,110,166,40.0
GeForce 6800 Ultra,139,153,40.0
GeForce 6800 XT,121,103,40.0
GeForce 7000M,13,239,10.0
GeForce 7100 / nForce 630i,42,37,10.0
GeForce 7100 GS,51,79,30.0
GeForce 710A,429,173,33.0
GeForce 710M,445,127,12.0
GeForce 7200 GS,23,98,30.0
GeForce 7300 GS,80,41,30.0
GeForce 7300 GT,124,26,30.0
GeForce 7300 LE,82,34,30.0
GeForce 7300 SE,39,251,30.0
GeForce 7300 SE/7200 GS,48,28,30.0
GeForce 7500 LE,91,42,30.0
GeForce 7600 GS,166,33,40.0
GeForce 7600 GT,235,47,40.0
GeForce 7800 GS,177,199,40.0
GeForce 7800 GT,244,273,40.0
GeForce 7800 GTX,268,143,86.0
GeForce 7900 GS,262,65,40.0
GeForce 7900 GT,258,160,40.0
GeForce 7900 GT/GTO,247,469,40.0
GeForce 7900 GTX,388,165,40.0
GeForce 7950 GT,346,129,40.0
GeForce 7950 GX2,267,217,80.0
GeForce 8200M G,65,34,19.2
GeForce 820M,480,114,15.0
GeForce 825M,761,212,33.0
GeForce 8300 GS,115,111,40.0
GeForce 830M,1000,135,25.0
GeForce 8400 GS,167,23,40.0
GeForce 8400M G,105,124,10.0
GeForce 8400M GS,104,29,11.0
GeForce 8400M GT,67,56,14.0
GeForce 840M,1100,151,30.0
GeForce 8500 GT,171,29,45.0
GeForce 8600 GS,179,82,47.0
GeForce 8600 GT,142,39,47.0
GeForce 8600 GTS,185,24,75.0
GeForce 8600M GS,89,34,20.0
GeForce 8600M GT,164,24,20.0
GeForce 8700M GT,124,57,29.0
GeForce 8800 GS,330,121,105.0
GeForce 8800 GT,455,47,125.0
GeForce 8800 GTS,405,31,146.0
GeForce 8800 GTS 512,550,66,135.0
GeForce 8800 GTX,556,80,155.0
GeForce 8800 Ultra,643,252,171.0
GeForce 8800M GTS,382,159,50.0
GeForce 8800M GTX,462,175,65.0
GeForce 9200M GS,129,46,13.0
GeForce 9300 GE,109,35,25.0
GeForce 9300 GS,102,80,25.0
GeForce 9300M G,85,242,13.0
GeForce 9300M GS,128,23,13.0
GeForce 930MX,1274,194,17.0
GeForce 9400 GT,195,37,50.0
GeForce 9400M G,148,39,12.0
GeForce 940M,1132,153,33.0
GeForce 9500 GT,191,33,50.0
GeForce 9500M G,122,172,20.0
GeForce 9500M GS,133,54,20.0
GeForce 9600 GS,282,41,84.0
GeForce 9600 GSO,323,90,84.0
GeForce 9600 GSO 512,330,79,90.0
GeForce 9600 GT,472,42,95.0
GeForce 9600M GS,131,58,20.0
GeForce 9600M GT,163,25,23.0
GeForce 9650M GS,270,328,29.0
GeForce 9650M GT,137,57,23.0
GeForce 9700M GT,327,97,45.0
GeForce 9700M GTS,312,33,60.0
GeForce 9800 GT,447,53,125.0
GeForce 9800 GTX,769,366,140.0
GeForce 9800 GTX+,489,75,141.0
GeForce 9800 GX2,613,262,197.0
GeForce 9800M GS,517,44,60.0
GeForce 9800M GT,381,81,65.0
GeForce 9800M GTS,357,72,75.0
GeForce 9800M GTX,454,89,75.0
GeForce FX 5200,8,154,30.0
GeForce FX 5200 Ultra,12,138,30.0
GeForce FX 5500,8,152,30.0
GeForce FX 5600,13,168,30.0
GeForce FX 5600 Ultra,17,122,30.0
